-296 12  -606  2  5
-295  1  -606  3  6
-295  2  -606  4  5
-295  3  -606  5  4
-295  4  -606  6  3
-295  5  -606  7  3
-295  6  -606  8  1
-295  6b -606  8 31
-295  7  -606  9 29
-295  8  -606 10 29
-295  9  -606 11 27
-295 10  -606 12 27
-295 11  -605  1 25
-295 12  -605  2 24
-294  1  -605  3 25
-294  2  -605  4 24
-294  3  -605  5 23
-294  4  -605  6 22
-294  5  -605  7 21
-294  6  -605  8 20
-294  7  -605  9 19
-294  8  -605 10 18
-294  9  -605 11 17
-294 10  -605 12 17
-294 11  -604  1 15
-294 12  -604  2 13
-294 12b -604  3 14
-293  1  -604  4 12
-293  2  -604  5 11
-293  3  -604  6 10
-293  4  -604  7  9
-293  5  -604  8  8
-293  6  -604  9  7
-293  7  -604 10  7
-293  8  -604 11  5
-293  9  -604 12  5
-293 10  -603  1  4
-293 11  -603  2  2
-293 12  -603  3  3
-292  1  -603  4  2
-292  2  -603  5  1
-292  3  -603  5 30
-292  4  -603  6 29
-292  5  -603  7 28
-292  6  -603  8 27
-292  7  -603  9 26
-292  8  -603 10 25
-292  9  -603 11 24
-292 10  -603 12 24
-292 11  -602  1 23
-292 12  -602  2 21
-291  1  -602  3 22
-291  2  -602  4 21
-291  3  -602  5 20
-291  4  -602  6 18
-291  5  -602  7 17
-291  6  -602  8 16
-291  6b -602  9 15
-291  7  -602 10 15
-291  8  -602 11 13
-291  9  -602 12 13
-291 10  -601  1 12
-291 11  -601  2 10
-291 12  -601  3 12
-290  1  -601  4 10
-290  2  -601  5 10
-290  3  -601  6  8
-290  4  -601  7  7
-290  5  -601  8  6
-290  6  -601  9  4
-290  7  -601 10  4
-290  8  -601 11  3
-290  9  -601 12  2
-290 10  -600  1  1
-290 11  -600  1 30
-290 12  -600  2 29
-289  1  -600  3 30
-289  2  -600  4 28
-289  3  -600  5 28
-289  4  -600  6 26
-289  5  -600  7 25
-289  6  -600  8 24
-289  7  -600  9 22
-289  8  -600 10 22
-289  9  -600 11 21
-289 10  -600 12 20
-289 11  -599  1 19
-289 12  -599  2 17
-288  1  -599  3 19
-288  2  -599  4 17
-288  3  -599  5 17
-288  4  -599  6 15
-288  5  -599  7 15
-288  6  -599  8 13
-288  6b -599  9 11
-288  7  -599 10 10
-288  8  -599 11  9
-288  9  -599 12  9
-288 10  -598  1  8
-288 11  -598  2  6
-288 12  -598  3  7
-287  1  -598  4  6
-287  2  -598  5  6
-287  3  -598  6  5
-287  4  -598  7  4
-287  5  -598  8  3
-287  6  -598  9  2
-287  7  -598 10  1
-287  8  -598 10 31
-287  9  -598 11 29
-287 10  -598 12 28
-287 11  -597  1 27
-287 12  -597  2 25
-286  1  -597  3 27
-286  2  -597  4 25
-286  3  -597  5 25
-286  4  -597  6 23
-286  5  -597  7 23
-286  6  -597  8 22
-286  6b -597  9 21
-286  7  -597 10 20
-286  8  -597 11 19
-286  9  -597 12 18
-286 10  -596  1 16
-286 11  -596  2 15
-286 12  -596  3 15
-285  1  -596  4 13
-285  2  -596  5 13
-285  3  -596  6 11
-285  4  -596  7 11
-285  5  -596  8 10
-285  6  -596  9  9
-285  7  -596 10  9
-285  8  -596 11  7
-285  9  -596 12  6
-285 10  -595  1  5
-285 11  -595  2  3
-285 12  -595  3  5
-284  1  -595  4  3
-284  2  -595  5  2
-284  3  -595  6  1
-284  4  -595  6 30
-284  5  -595  7 30
-284  6  -595  8 29
-284  6b -595  9 28
-284  7  -595 10 28
-284  8  -595 11 26
-284  9  -595 12 25
-284 10  -594  1 24
-284 11  -594  2 22
-284 12  -594  3 24
-283  1  -594  4 22
-283  2  -594  5 21
-283  3  -594  6 20
-283  4  -594  7 19
-283  5  -594  8 18
-283  6  -594  9 17
-283  7  -594 10 16
-283  8  -594 11 15
-283  9  -594 12 15
-283 10  -593  1 13
-283 11  -593  2 12
-283 12  -593  3 13
-282  1  -593  4 12
-282  2  -593  5 11
-282  3  -593  6  9
-282  4  -593  7  9
-282  5  -593  8  7
-282  6  -593  9  6
-282  7  -593 10  6
-282  8  -593 11  4
-282  9  -593 12  4
-282 10  -592  1  2
-282 11  -592  2  1
-282 12  -592  3  2
-282 12b -592  3 31
-281  1  -592  4 30
-281  2  -592  5 29
-281  3  -592  6 27
-281  4  -592  7 27
-281  5  -592  8 25
-281  6  -592  9 24
-281  7  -592 10 23
-281  8  -592 11 22
-281  9  -592 12 21
-281 10  -591  1 20
-281 11  -591  2 19
-281 12  -591  3 21
-280  1  -591  4 19
-280  2  -591  5 19
-280  3  -591  6 17
-280  4  -591  7 17
-280  5  -591  8 15
-280  6  -591  9 13
-280  7  -591 10 13
-280  8  -591 11 11
-280  9  -591 12 10
-280 10  -590  1  9
-280 11  -590  2  8
-280 12  -590  3 10
-279  1  -590  4  8
-279  2  -590  5  8
-279  3  -590  6  7
-279  4  -590  7  6
-279  5  -590  8  5
-279  6  -590  9  3
-279  7  -590 10  2
-279  8  -590 11  1
-279  9  -590 11 30
-279 10  -590 12 29
-279 11  -589  1 28
-279 12  -589  2 27
-279 12b -589  3 28
-278  1  -589  4 27
-278  2  -589  5 27
-278  3  -589  6 25
-278  4  -589  7 25
-278  5  -589  8 23
-278  6  -589  9 22
-278  7  -589 10 21
-278  8  -589 11 20
-278  9  -589 12 19
-278 10  -588  1 18
-278 11  -588  2 16
-278 12  -588  3 16
-277  1  -588  4 15
-277  2  -588  5 15
-277  3  -588  6 13
-277  4  -588  7 13
-277  5  -588  8 11
-277  6  -588  9 10
-277  7  -588 10 10
-277  8  -588 11  8
-277  9  -588 12  8
-277 10  -587  1  6
-277 11  -587  2  5
-277 12  -587  3  6
-276  1  -587  4  4
-276  2  -587  5  4
-276  3  -587  6  2
-276  4  -587  7  2
-276  5  -587  7 31
-276  6  -587  8 30
-276  7  -587  9 29
-276  8  -587 10 29
-276  9  -587 11 27
-276 10  -587 12 27
-276 11  -586  1 25
-276 12  -586  2 24
-276 12b -586  3 25
-275  1  -586  4 23
-275  2  -586  5 23
-275  3  -586  6 21
-275  4  -586  7 21
-275  5  -586  8 19
-275  6  -586  9 18
-275  7  -586 10 18
-275  8  -586 11 17
-275  9  -586 12 16
-275 10  -585  1 15
-275 11  -585  2 13
-275 12  -585  3 15
-274  1  -585  4 13
-274  2  -585  5 12
-274  3  -585  6 11
-274  4  -585  7 10
-274  5  -585  8  8
-274  6  -585  9  7
-274  7  -585 10  7
-274  8  -585 11  6
